GEOID_12,med_hou_inc,med_inc_q,below_pov,bach_degre,grad_degre,asian,black,hispanic,white,home_age,loss_n,gain_n,change_5_200,suhi_2013,suhi_2022,suhi_change,tree_area_13_n,tree_area_22_n
42101039002,30573,1,0.265167487,0.178958785,0.075560376,0,97.7,2.5,0.5,71,0.047807773,0.086093536,0.038285756,8.844825624,7.664025166,2.407243409,0.057156187,0.052807645
42101008302,30922,1,0.343699977,0.047417993,0.051315362,4.7,91.4,3.1,2.3,76,0.041111891,0.039806489,-0.001305403,8.693966901,11.25251977,2.558552862,0.074677397,0.070587842
42101010900,31341,1,0.422393822,0.149721448,0.082172702,3.5,77.9,2.2,15.8,57,0.039103224,0.059059725,0.019956503,7.08012819,8.993514123,1.913385932,0.077338534,0.09697754
42101008602,31342,1,0.236180905,0.199911151,0.156374944,8.6,60.5,3.1,27.2,70,0.022678182,0.043499336,0.020821157,8.179386427,9.611778776,1.432392349,0.047736156,0.066527139
42101028901,31434,1,0.283916849,0.039161392,0.030063291,8.3,10.6,78.3,25.3,81,0.046540771,0.038019029,-0.008521739,7.884080852,5.731905654,-2.152175197,0.093407259,0.085258922
42101016702,31618,1,0.354111406,0.065287654,0.01874596,0.3,91.5,0.7,7,83,0.069991822,0.048966119,-0.021025704,9.037647613,7.508180802,-1.529466809,0.121273973,0.100825298
42101017800,32009,1,0.428130111,0.126839168,0.0456621,0,32.6,41,22.1,83,0.040483634,0.043138864,0.002655228,8.489420511,8.754831099,0.265410589,0.065348111,0.065371865
42101013100,32083,1,0.308405439,0.334979424,0.187654321,5.3,57.6,6.7,33.5,66,0.04616598,0.07399854,0.027832558,8.657845346,4.629552293,-4.02829305,0.106008047,0.134643335
42101008200,32333,1,0.274311927,0.138613861,0.068564356,0,93.1,7.2,6,83,0.039016326,0.062675388,0.023659057,8.245961388,10.21587117,1.969909784,0.188969038,0.210558402
42101006300,32347,1,0.39471243,0.056179775,0.026768011,6.2,82.3,7.4,4.1,73,0.04290683,0.051118177,0.008211345,7.016427091,9.038734077,2.022306987,0.121272721,0.129755622
42101028700,32609,1,0.590581247,0.022894522,0.007358953,3.2,17.5,77.5,18.8,83,0.031750259,0.036950044,0.005199777,9.080149457,6.312319805,-2.767829649,0.069995638,0.07603153
42101029100,32746,1,0.499008592,0.120170455,0.017045455,20.7,38.2,34.3,10.1,69,0.032990111,0.045090417,0.012100302,9.020988912,5.920854826,-3.100134089,0.174643315,0.188869174
42101006600,32946,1,0.466028708,0.056872038,0,8,84.5,1.3,4.4,83,0.042149065,0.048901515,0.006752443,7.23461133,9.192663071,1.95805174,0.094403698,0.100324443
42101017400,32948,1,0.25318122,0.052631579,0.007357102,0.5,85,8.1,3.1,83,0.062356606,0.048196978,-0.014159637,7.905205274,7.214496284,-0.690708991,0.119596185,0.097807498
42101024200,33172,1,0.296018032,0.212153901,0.087378641,1.4,74.7,3.2,17.8,81,0.095124463,0.092435009,-0.002689443,7.027444812,6.184898374,-0.842546438,0.248637272,0.249287684
42101030000,33205,1,0.461261521,0.092147956,0.067056024,0.3,57.7,28.5,23.8,83,0.042576825,0.047033453,0.004456627,7.918937173,6.925507598,-0.993429573,0.106023002,0.107599962
42101028300,33307,1,0.45530303,0.039181863,0.057417447,3.1,78.7,13.7,9.8,83,0.050431115,0.050013551,-0.00041757,7.994190553,7.064777343,-0.929413208,0.113051508,0.110457244
42101010300,33420,1,0.275055188,0.033516149,0.013406459,0,97.9,0.8,1.7,79,0.047585894,0.060233426,0.012647524,9.006604644,9.859712465,0.853107821,0.105381308,0.114510193
42101009300,33509,1,0.275648128,0.086606867,0.055366533,4.9,87.7,2.4,4.5,83,0.050440202,0.061075933,0.010635731,8.676210358,10.471161,1.794950644,0.11712799,0.126463417
